objectid,num_pave,igds_level,lib_level,lib_classe,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat,latitude,longitude
21,051A,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.3517077338929706, 48.84769933764409], [2.3516689130467587, 48.84770976669032], [2.351731494004273, 48.847810188196924], [2.351889853854827, 48.847766662825734], [2.351924818410569, 48.847757317231476], [2.3518161863137657, 48.84766991996834], [2.3517936764133163, 48.84767612409994], [2.3517077338929706, 48.84769933764409]]]",Polygon,2.3517871926912814,48.847738933530756,48.847738933530756,2.3517871926912814
30,051A,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.3554305103149114, 48.84881720991495], [2.3553303808730304, 48.84888487228194], [2.355487442791824, 48.848985641536], [2.35564094530151, 48.84908458189573], [2.3557319877190324, 48.84914281988945], [2.355699294977685, 48.84899033504351], [2.3556157073563604, 48.848936365942976], [2.3556000301151974, 48.84892625907131], [2.3554305103149114, 48.84881720991495]]]",Polygon,2.355546892910844,48.84896240118598,48.84896240118598,2.355546892910844
32,144F,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.3120274879761724, 48.82493253794935], [2.31237509548508, 48.824882968542596], [2.312806744871503, 48.8248210577333], [2.3131817759784115, 48.82476793542536], [2.3133461717663186, 48.8247442031901], [2.3133228901262144, 48.82467298965811], [2.3133227984580955, 48.82467271032374], [2.313321698673615, 48.82467244318821], [2.313320640590073, 48.82467211243608], [2.3133196239469918, 48.82467173785224], [2.3133186638565038, 48.824671309630325], [2.313264481550304, 48.82464539942052], [2.313141267522314, 48.824662641618765], [2.313069942044601, 48.8246732142627], [2.3130582731697484, 48.824674952289655], [2.313016277900989, 48.82468117669256], [2.3129746546283427, 48.82468707944086], [2.312945164552667, 48.824691255821406], [2.3128721803191556, 48.82470159397228], [2.312707733538236, 48.82472505455067], [2.312705850302403, 48.82472532253514], [2.3126944674845795, 48.824726954245016], [2.312436602924105, 48.824763976193864], [2.3124085982350233, 48.82476799010036], [2.312354227668424, 48.82477579527711], [2.312351921389898, 48.82477612288058], [2.3123049329736958, 48.82478292900144], [2.312257794024971, 48.82478978730154], [2.312216755398393, 48.82479575700486], [2.312144822345187, 48.824805893900724], [2.3121154540040965, 48.82481012474007], [2.31208695763927, 48.824814234674996], [2.3119799895120208, 48.82482965704884], [2.3119538541270375, 48.82483342168282], [2.311942704520683, 48.82483502768166], [2.3119012630524853, 48.82484251401292], [2.3118606033140545, 48.82485165968857], [2.311820873997743, 48.82486244757743], [2.311710952619331, 48.824895514752285], [2.311686429962526, 48.82490288703196], [2.311601304690107, 48.82492849346201], [2.3116371401026194, 48.82503560371362], [2.3116410528265265, 48.82503441297183], [2.311791279139963, 48.82498929318448], [2.311857422032905, 48.82496936400424], [2.311912774063594, 48.824954505462586], [2.3119695633242223, 48.824942209405116], [2.3120274879761724, 48.82493253794935]]]",Polygon,2.3124626121568803,48.824819839679684,48.824819839679684,2.3124626121568803
33,144F,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.3101996264234494, 48.825588382697866], [2.3102718142937055, 48.82573207122435], [2.310347420366874, 48.82588171620619], [2.3104738686896678, 48.8258782119754], [2.310389784904813, 48.825711122378536], [2.310309566809699, 48.82555117987924], [2.3101996264234494, 48.825588382697866]]]",Polygon,2.3103335643232192,48.82572461270991,48.82572461270991,2.3103335643232192
43,191E,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.376260987532558, 48.88518172397364], [2.376775139158368, 48.884729989991996], [2.376787673612362, 48.884718852332185], [2.3767974335215194, 48.884710406301394], [2.3767300827369615, 48.88468848448157], [2.3767297009351624, 48.88468848249405], [2.3766126540000667, 48.884790632821236], [2.376556753045449, 48.884840197687126], [2.376540784697146, 48.88485339398452], [2.3764292276436887, 48.884951517647394], [2.3762111771776246, 48.88514307945542], [2.3762204478678646, 48.88516182743451], [2.3762141884280976, 48.885167305891535], [2.376254714017091, 48.88518723923173], [2.376260987532558, 48.88518172397364]]]",Polygon,2.3764956201335083,48.88493478373755,48.88493478373755,2.3764956201335083
62,191E,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.3800024099257517, 48.88472889187787], [2.3800701873848364, 48.88466801223774], [2.3800489745844495, 48.88466649585578], [2.380042371531033, 48.88466559651406], [2.380035910470968, 48.884664339076245], [2.3800296294988366, 48.88466273093419], [2.3800235720139282, 48.88466079209788], [2.380017777474085, 48.8846585299662], [2.380012286658517, 48.884655955542286], [2.380007126635354, 48.88465308605355], [2.3800023515193645, 48.88464995775326], [2.379997637799327, 48.88464625420219], [2.379993446707948, 48.88464229255282], [2.379989802468361, 48.88463809991039], [2.37998673465079, 48.88463371240113], [2.3799842811033964, 48.88462915810022], [2.379982457674994, 48.88462448025731], [2.379981274931393, 48.88461970770563], [2.3799807487107683, 48.884614884594214], [2.37998086347829, 48.884610055808835], [2.3799816461839467, 48.88460524846888], [2.3799830676572267, 48.88460050738955], [2.3799851301859634, 48.884595869455055], [2.3799878032468924, 48.88459137857421], [2.3799910893634384, 48.88458705184734], [2.3797926881627554, 48.88459388798379], [2.3797919545717314, 48.88459468458372], [2.379786812947758, 48.88460023287057], [2.379780926575268, 48.884605453541944], [2.379774374980528, 48.88461031013736], [2.3797671872055846, 48.88461476863273], [2.379759433349975, 48.88461878262619], [2.3797511532680704, 48.88462232624364], [2.3797406717605187, 48.88462625326006], [2.379729734950664, 48.884629594254385], [2.3797184234182067, 48.88463233885197], [2.3797068056422925, 48.88463446222644], [2.379694964930129, 48.884635954017334], [2.379682968300849, 48.88463679748467], [2.379670924841077, 48.88463699319357], [2.3796588892015778, 48.88463653243389], [2.379614788538181, 48.884633201257785], [2.3795575415544903, 48.88469596264431], [2.379655687359134, 48.88470338071845], [2.3796578511643354, 48.884703751659856], [2.3796599590230456, 48.88470424012306], [2.37966199721376, 48.884704853231504], [2.379663938657787, 48.884705574657126], [2.379665782013059, 48.884706402594226], [2.3796675163600547, 48.88470733788563], [2.3796691269030013, 48.88470836336747], [2.3796705986641067, 48.884709477163504], [2.3796719071952492, 48.88471067105315], [2.3796730635013503, 48.88471193699945], [2.379674056909664, 48.88471325516199], [2.3796748574106306, 48.884714626284605], [2.3796754951100985, 48.88471604153003], [2.3796759401164413, 48.88471749175008], [2.3796761953710956, 48.884718958973565], [2.3796762446180426, 48.88472043412297], [2.3796761180705635, 48.884721899368316], [2.3796757992582878, 48.88472336361755], [2.3796752912298813, 48.884724799906664], [2.3796745913652475, 48.88472619922883], [2.3796737161344224, 48.884727552676104], [2.3796726628102918, 48.884728860234354], [2.3795980114190542, 48.88481290393586], [2.379546669501554, 48.8848701209863], [2.3795459506879455, 48.884870935647655], [2.3795185640260135, 48.88490207586716], [2.379518204565196, 48.884902487694106], [2.379659828723861, 48.88495579792726], [2.3796820170362807, 48.88493141076063], [2.379685637932254, 48.88492863351703], [2.379689610896037, 48.88492606494224], [2.379693894805867, 48.884923722809674], [2.379698462068749, 48.884921633956154], [2.379703284049264, 48.884919798233234], [2.379708322235088, 48.884918243320485], [2.379713532906062, 48.884916976185984], [2.379718891399703, 48.88491600659454], [2.3797243677173405, 48.8849153343907], [2.37972989492559, 48.88491496912027], [2.379736060993915, 48.884914777131755], [2.3797422365206566, 48.88491493592892], [2.379748366951743, 48.884915446128495], [2.3797543978726496, 48.8849162966566], [2.3797603005195063, 48.88491749815621], [2.379766023419, 48.884919021582284], [2.3797715365617536, 48.88492086767875], [2.379816190675358, 48.884937862417324], [2.3798403049862134, 48.884911021944916], [2.3797947564631174, 48.88489367184478], [2.3797895181136703, 48.884891538489285], [2.379784598490519, 48.88488909291996], [2.3797800504627418, 48.88488636149113], [2.379775914723728, 48.884883362400174], [2.3797722046951186, 48.88488011370314], [2.37976897573748, 48.88487666155251], [2.379766238566606, 48.88487302219165], [2.3797640315761526, 48.884869521375364], [2.3797623033504633, 48.88486589623424], [2.3797610683316393, 48.88486219360812], [2.3797603372248175, 48.88485843063955], [2.3797601247080227, 48.884854634384425], [2.379760417973345, 48.884850849742634], [2.379761227714996, 48.884847094756104], [2.3797625277036394, 48.884843396268735], [2.3797643311357786, 48.88483979122121], [2.37976662533196, 48.884836313722204], [2.3797693665291155, 48.88483297433692], [2.3797703189684722, 48.8848320079991], [2.379832539212255, 48.88476294192565], [2.3798375366605873, 48.88475805029794], [2.3798431307739816, 48.88475343965212], [2.3798492652065737, 48.88474914656869], [2.3798559150817016, 48.884745198797795], [2.3798630229258038, 48.88474161312884], [2.3798705487774106, 48.88473842442849], [2.379878437964811, 48.88473564320543], [2.3798907398554987, 48.88473218426162], [2.3799034289370575, 48.88472941980267], [2.3799164231811396, 48.884727367390155], [2.379929639302528, 48.88472603558589], [2.3799429693651346, 48.88472544181737], [2.3799563451903123, 48.88472558573148], [2.3799696440565388, 48.884726466692655], [2.3799882825763863, 48.88472784385217], [2.3800024099257517, 48.88472889187787]]]",Polygon,2.379764777771505,48.884747363219816,48.884747363219816,2.379764777771505
83,191E,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.3809155696710804, 48.885555087735646], [2.380880100392508, 48.88561356909831], [2.3808779707084375, 48.8856170915336], [2.3808604310043853, 48.88564599147414], [2.38191301712828, 48.88592234508848], [2.3819143901057425, 48.8859227119059], [2.3819570197353754, 48.88590497244969], [2.3819999370814826, 48.88588711755098], [2.382152430802935, 48.88582367029025], [2.381981679620473, 48.8857786780757], [2.38197382368982, 48.885776585266754], [2.3819659660760766, 48.8857745194284], [2.381958082127361, 48.88577248942654], [2.381657423529084, 48.885705673991225], [2.381610748944757, 48.88569530564015], [2.3816099324903863, 48.88569515753139], [2.381609116356397, 48.8856949824445], [2.3816083279217377, 48.88569477152773], [2.3815283908905904, 48.885677002573054], [2.380958297314385, 48.885528418838504], [2.3809354768702553, 48.88552227087503], [2.3809177562199535, 48.88555148465431], [2.3809155696710804, 48.885555087735646]]]",Polygon,2.3814803576129733,48.88573207090403,48.88573207090403,2.3814803576129733
120,144F,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.31391201628338, 48.82530558473369], [2.313794397907099, 48.82533182742407], [2.313795485345982, 48.825333965194666], [2.3138119086328293, 48.825364065448866], [2.3138359352396596, 48.82541279951085], [2.313836187750101, 48.82541327763108], [2.313840061799357, 48.825420819575506], [2.3138541651341225, 48.82544825243965], [2.3138765841543574, 48.82544329597574], [2.31397127505069, 48.8254223674264], [2.3139711543879216, 48.82541921890432], [2.313971469571252, 48.82541607288256], [2.313972247485823, 48.82541295649672], [2.313973460406051, 48.82540990646231], [2.3139750943804147, 48.825406947881966], [2.3139771505104556, 48.82540410054826], [2.313980573923461, 48.82540075740533], [2.3139844305784196, 48.825397614611184], [2.313988665521432, 48.825394707825765], [2.313993265002119, 48.825392046863364], [2.3139982002050337, 48.82538964774742], [2.3140034189949, 48.82538753895902], [2.3140088925564246, 48.82538573652165], [2.314029509411661, 48.82538109346796], [2.3140277648669776, 48.82537713428336], [2.3139954610043065, 48.825316146391486], [2.3139758146230953, 48.825320535085915], [2.3139714441125725, 48.825321426482056], [2.3139669678357535, 48.82532207443864], [2.3139624269014734, 48.82532246030456], [2.313957848408379, 48.82532259502781], [2.313953273346978, 48.82532246895035], [2.3139487288394816, 48.82532209122161], [2.3139442572267055, 48.82532145309066], [2.3139398829067748, 48.82532056369129], [2.3139356357256635, 48.825319432188536], [2.3139315538199137, 48.8253180588012], [2.313927666798794, 48.825316470680605], [2.313923987039031, 48.82531465890391], [2.3139205686661684, 48.82531265076312], [2.3139174114434247, 48.82531046424444], [2.3139145562196273, 48.82530810048166], [2.31391201628338, 48.82530558473369]]]",Polygon,2.3139086317089412,48.82537149812373,48.82537149812373,2.3139086317089412
156,144F,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.308357024171957, 48.82369329548348], [2.3083741288141306, 48.82370235585362], [2.3085107733252364, 48.823694895153636], [2.3085439912161663, 48.82369308071159], [2.308696665189721, 48.82368475374371], [2.3086913973320606, 48.82368151969196], [2.308686584211107, 48.8236779923722], [2.308682236138314, 48.823674215913805], [2.308678410304514, 48.82367019154682], [2.308675131895524, 48.823665971581036], [2.308672414268654, 48.82366157588013], [2.3086702840908058, 48.823657047768684], [2.308668753357354, 48.823652407102394], [2.308667837827373, 48.823647698042144], [2.308667535661821, 48.82364295655261], [2.308667873730252, 48.823638210669934], [2.3086688242207267, 48.8236335034037], [2.3086703866321474, 48.823628872525], [2.3086725455177692, 48.823624353020435], [2.3086753033747733, 48.82361996199266], [2.308678887666603, 48.8236158023868], [2.3086829881381337, 48.82361185172334], [2.308687574456187, 48.823608137707744], [2.308692620254454, 48.82360469706224], [2.3086980979595837, 48.82360155480997], [2.30870393933004, 48.82359872134906], [2.3087101439008375, 48.823596231752575], [2.3087166298345188, 48.82359409454121], [2.308723368303278, 48.823592326636614], [2.3088412844521566, 48.823566127496754], [2.3087697546356365, 48.82349681689114], [2.308742445655955, 48.82350273255819], [2.3085921341020557, 48.82353642592158], [2.308527279637117, 48.82355085744975], [2.3085116904252105, 48.82355437022978], [2.308497614217795, 48.823556875455324], [2.3084832762308336, 48.82355857871541], [2.308468758063813, 48.823559489475656], [2.308454182759988, 48.82355957337167], [2.3084396466858954, 48.82355885614343], [2.3084252576642266, 48.82355732132622], [2.3084111120258823, 48.823554997358066], [2.3083973160288047, 48.82355188305485], [2.308383967234334, 48.823548016754955], [2.3083711607542057, 48.823543416096875], [2.3082045675574734, 48.82358227259166], [2.3082054137855046, 48.82358614482978], [2.3082057406257483, 48.823590050038476], [2.3082055375522534, 48.823593960276], [2.3082048157945585, 48.82359785042458], [2.3082035786853004, 48.823601674635064], [2.308201850990337, 48.82360541416363], [2.308199622159871, 48.82360904286721], [2.3081969185484987, 48.82361252492292], [2.3081937663917125, 48.82361583350107], [2.3081901822716393, 48.82361895070992], [2.3081861924237113, 48.82362184971975], [2.3081818380650154, 48.82362450378748], [2.308177148047625, 48.82362689419303], [2.308172147101856, 48.82362900489051], [2.308166904938739, 48.82363081739617], [2.3081614230517045, 48.82363232182544], [2.3082162708419003, 48.823686647917675], [2.308253881299885, 48.8236783762222], [2.308262770506666, 48.823676711622426], [2.3082718433494325, 48.82367557871955], [2.308281031717859, 48.823674978018985], [2.3082902671796948, 48.82367493430752], [2.3082994668814147, 48.82367543001762], [2.3083085654368065, 48.82367646567049], [2.3083174921667586, 48.82367803006479], [2.308326166703073, 48.82368012363503], [2.308334519943434, 48.82368271900012], [2.308342486751954, 48.82368579779575], [2.3083500104029797, 48.82368932371859], [2.308357024171957, 48.82369329548348]]]",Polygon,2.308492663543944,48.823610295372205,48.823610295372205,2.308492663543944
171,161F,35,"RAMPES, CHAUSSEE",Chaussée,Feature,"[[[2.2648264070022193, 48.84843607377918], [2.264776735263578, 48.848559721027165], [2.264725436018061, 48.84868463534035], [2.2647019436136016, 48.848741242773315], [2.2648261118170017, 48.84875151572171], [2.264889175379197, 48.848594722769036], [2.2649293129898496, 48.84849678914752], [2.2648264070022193, 48.84843607377918]]]",Polygon,2.2648192749117526,48.84860605705224,48.84860605705224,2.2648192749117526
